transaction_id,product_id
T00060,P0074
T00060,P0089
T00060,P0085
T00060,P0069
T00061,P0003
T00061,P0034
T00061,P0066
T00061,P0011
T00061,P0094
T00062,P0072
T00062,P0063
T00062,P0100
T00063,P0037
T00063,P0092
T00063,P0046
T00063,P0077
T00063,P0005
T00064,P0010
T00065,P0100
T00066,P0024
T00067,P0031
T00067,P0019
T00068,P0075
T00068,P0039
T00068,P0078
T00068,P0085
T00068,P0005
T00069,P0044
T00069,P0060
T00069,P0055
T00070,P0067
T00070,P0094
T00070,P0009
T00070,P0015
T00070,P0054
T00071,P0019
T00071,P0043
T00071,P0020
T00071,P0056
T00072,P0010
T00072,P0006
T00073,P0032
T00073,P0011
T00073,P0094
T00073,P0004
T00074,P0041
T00074,P0060
T00075,P0086
T00075,P0046
T00075,P0078
T00075,P0076
T00076,P0092
T00076,P0075
T00077,P0100
T00077,P0042
T00078,P0076
T00078,P0040
T00079,P0097
T00079,P0047
T00080,P0040
T00080,P0067
T00080,P0016
T00080,P0017
T00080,P0072
T00081,P0004
T00081,P0082
T00082,P0071
T00082,P0055
T00083,P0068
T00084,P0060
T00084,P0085
T00084,P0045
T00084,P0093
T00084,P0076
T00085,P0001
T00085,P0042
T00085,P0045
T00085,P0062
T00086,P0029
T00087,P0059
T00087,P0023
T00088,P0047
T00088,P0001
T00088,P0090
T00089,P0085
T00090,P0079
T00090,P0065
T00090,P0027
T00090,P0040
T00091,P0096
T00091,P0053
T00091,P0078
T00091,P0093
T00091,P0072
T00092,P0073
T00092,P0076
T00093,P0056
T00093,P0040
T00093,P0017
T00093,P0003
T00094,P0070
T00094,P0024
T00095,P0046
T00096,P0038
T00096,P0044
T00096,P0080
T00096,P0079
T00097,P0054
T00097,P0062
T00097,P0019
T00098,P0099
T00098,P0042
T00098,P0058
T00099,P0020
T00100,P0052
T00101,P0051
T00102,P0008
T00103,P0069
T00103,P0083
T00103,P0034
T00103,P0100
T00104,P0046
T00104,P0040
T00104,P0048
T00104,P0041
T00104,P0098
T00105,P0023
T00105,P0092
T00105,P0028
T00105,P0015
T00105,P0047
T00106,P0083
T00106,P0014
T00107,P0004
T00107,P0034
T00107,P0052
T00107,P0039
T00108,P0081
T00108,P0082
T00108,P0056
T00108,P0059
T00108,P0099
T00109,P0002
T00109,P0062
T00109,P0005
T00109,P0067
T00110,P0099
T00110,P0053
T00110,P0096
T00110,P0012
T00111,P0061
T00112,P0027
T00112,P0046
T00112,P0072
T00113,P0037
T00113,P0044
T00114,P0055
T00114,P0092
T00114,P0068
T00114,P0094
T00115,P0072
T00115,P0087
T00115,P0090
T00115,P0049
T00115,P0065
T00116,P0002
T00117,P0051
T00117,P0028
T00117,P0052
T00117,P0023
T00118,P0100
T00118,P0072
T00118,P0001
T00119,P0048
T00119,P0035
T00119,P0066
T00120,P0094
T00120,P0024
T00121,P0067
T00121,P0034
T00121,P0091
T00121,P0041
T00121,P0004
T00122,P0083
T00122,P0100
T00122,P0043
T00122,P0065
T00123,P0090
T00123,P0050
T00123,P0094
T00123,P0061
T00124,P0019
T00124,P0096
T00124,P0003
T00124,P0047
T00125,P0074
T00126,P0025
T00126,P0037
T00126,P0015
T00126,P0066
T00126,P0043
T00127,P0045
T00127,P0098
T00127,P0002
T00127,P0046
T00127,P0023
T00128,P0039
T00128,P0034
T00128,P0099
T00129,P0074
T00129,P0023
T00129,P0097
T00129,P0083
T00130,P0047
T00130,P0035
T00131,P0011
T00131,P0002
T00131,P0019
T00132,P0016
T00132,P0088
T00133,P0064
T00133,P0029
T00134,P0071
T00134,P0028
T00134,P0056
T00134,P0034
T00135,P0033
T00135,P0093
T00135,P0022
T00135,P0086
T00135,P0077
T00136,P0011
T00137,P0100
T00138,P0048
T00138,P0001
T00138,P0036
T00138,P0097
T00138,P0098
T00139,P0049
T00139,P0032
T00139,P0012
T00140,P0010
T00140,P0001
T00140,P0053
T00140,P0050
T00141,P0045
T00141,P0029
T00141,P0041
T00141,P0075
T00142,P0098
T00142,P0097
T00143,P0005
T00144,P0071
T00144,P0031
T00144,P0077
T00144,P0076
T00145,P0054
T00145,P0052
T00145,P0075
T00145,P0087
T00146,P0051
T00146,P0097
T00146,P0010
T00147,P0064
T00148,P0021
T00148,P0065
T00149,P0082
T00149,P0039
T00150,P0013
T00150,P0085
T00150,P0083
T00150,P0024
T00150,P0068
T00151,P0096
T00152,P0064
T00152,P0052
T00152,P0069
T00153,P0061
T00153,P0059
T00153,P0049
T00154,P0078
T00154,P0075
T00154,P0098
T00154,P0092
T00154,P0064
T00155,P0057
T00155,P0026
T00155,P0023
T00156,P0003
T00156,P0024
T00156,P0083
T00156,P0047
T00156,P0098
T00157,P0056
T00157,P0024
T00157,P0042
T00157,P0094
T00158,P0089
T00158,P0067
T00158,P0016
T00158,P0034
T00159,P0008
T00159,P0025
T00159,P0059
T00160,P0072
T00160,P0002
T00161,P0044
T00161,P0007
T00162,P0096
T00163,P0021
T00163,P0082
T00164,P0043
T00164,P0056
T00164,P0059
T00164,P0064
T00165,P0016
T00165,P0029
T00166,P0047
T00166,P0056
T00167,P0097
T00168,P0029
T00169,P0092
T00170,P0013
T00170,P0040
T00170,P0077
T00171,P0074
T00172,P0046
T00172,P0003
T00172,P0037
T00172,P0032
T00173,P0032
T00173,P0057
T00173,P0017
T00173,P0009
T00173,P0075
T00174,P0058
T00174,P0007
T00174,P0087
T00175,P0023
T00175,P0006
T00175,P0085
T00175,P0065
T00175,P0070
T00176,P0056
T00176,P0074
T00176,P0023
T00176,P0025
T00177,P0082
T00177,P0013
T00178,P0002
T00179,P0013
T00179,P0040
T00180,P0094
T00180,P0085
T00180,P0089
T00180,P0057
T00181,P0079
T00181,P0035
T00182,P0041
T00182,P0044
T00182,P0073
T00182,P0033
T00183,P0008
T00183,P0050
T00184,P0027
T00184,P0070
T00185,P0096
T00185,P0039
T00186,P0055
T00186,P0089
T00186,P0007
T00186,P0067
T00186,P0016
T00187,P0051
T00187,P0100
T00188,P0065
T00189,P0047
T00189,P0055
T00189,P0083
T00189,P0094
T00190,P0012
T00191,P0064
T00191,P0019
T00191,P0053
T00191,P0100
T00191,P0036
T00192,P0077
T00193,P0072
T00193,P0012
T00193,P0042
T00193,P0085
T00194,P0044
T00194,P0054
T00195,P0088
T00195,P0016
T00196,P0095
T00197,P0050
T00197,P0055
T00197,P0046
T00197,P0098
T00198,P0068
T00198,P0038
T00199,P0061
T00199,P0022
T00199,P0059
T00199,P0012
T00199,P0005
T00200,P0043
T00200,P0081
T00201,P0044
T00202,P0019
T00202,P0043
T00203,P0083
T00204,P0091
T00204,P0015
T00204,P0088
T00204,P0089
T00205,P0063
T00206,P0051
T00206,P0029
T00207,P0058
T00207,P0039
T00207,P0036
T00207,P0098
T00208,P0031
T00208,P0052
T00208,P0072
T00208,P0039
T00209,P0075
T00210,P0088
T00210,P0080
T00211,P0049
T00211,P0027
T00211,P0037
T00211,P0085
T00211,P0006
T00212,P0027
T00212,P0040
T00212,P0007
T00212,P0085
T00212,P0090
T00213,P0011
T00213,P0022
T00213,P0027
T00213,P0054
T00214,P0082
T00214,P0095
T00214,P0025
T00214,P0032
T00214,P0051
T00215,P0045
T00216,P0081
T00216,P0052
T00216,P0045
T00216,P0021
T00217,P0022
T00218,P0068
T00218,P0095
T00218,P0023
T00218,P0029
T00218,P0036
T00219,P0043
T00219,P0070
T00219,P0082
T00219,P0001
T00220,P0085
T00220,P0075
T00220,P0088
T00220,P0055
T00220,P0015
T00221,P0054
T00221,P0011
T00222,P0029
T00222,P0095
T00222,P0089
T00222,P0083
T00223,P0084
T00223,P0017
T00223,P0053
T00224,P0080
T00224,P0042
T00225,P0018
T00225,P0016
T00226,P0027
T00226,P0008
T00226,P0033
T00226,P0052
T00227,P0046
T00227,P0039
T00227,P0028
T00228,P0016
T00228,P0014
T00229,P0041
T00229,P0088
T00229,P0098
T00229,P0066
T00230,P0019
T00230,P0052
T00230,P0096
T00230,P0028
T00230,P0095
T00231,P0006
T00232,P0083
T00232,P0090
T00232,P0039
T00233,P0005
T00233,P0044
T00234,P0093
T00234,P0005
T00234,P0020
T00234,P0038
T00234,P0060
T00235,P0013
T00236,P0027
T00236,P0090
T00237,P0019
T00237,P0086
T00237,P0078
T00237,P0081
T00238,P0053
T00238,P0023
T00238,P0065
T00238,P0009
T00238,P0087
T00239,P0087
T00239,P0092
T00240,P0067
T00240,P0029
T00240,P0019
T00241,P0085
T00241,P0072
T00241,P0026
T00241,P0024
T00242,P0030
T00243,P0045
T00243,P0037
T00243,P0039
T00243,P0027
T00243,P0081
T00244,P0029
T00244,P0023
T00244,P0064
T00245,P0017
T00246,P0051
T00246,P0099
T00246,P0028
T00246,P0038
T00246,P0039
T00247,P0049
T00247,P0085
T00247,P0023
T00247,P0056
T00248,P0091
T00248,P0028
T00248,P0084
T00248,P0052
T00249,P0063
T00249,P0086
T00249,P0018
T00249,P0067
T00250,P0078
T00250,P0001
T00250,P0088
T00250,P0006
T00251,P0007
T00251,P0070
T00251,P0039
T00252,P0064
T00252,P0010
T00252,P0043
T00252,P0014
T00253,P0099
T00253,P0085
T00253,P0049
T00254,P0050
T00254,P0048
T00254,P0014
T00255,P0030
T00255,P0069
T00256,P0014
T00256,P0063
T00256,P0086
T00257,P0064
T00257,P0057
T00257,P0022
T00258,P0087
T00258,P0070
T00258,P0045
T00258,P0083
T00259,P0006
T00259,P0083
T00259,P0072
T00259,P0086
T00260,P0038
T00260,P0057
T00260,P0012
T00261,P0040
T00261,P0025
T00261,P0038
T00261,P0069
T00261,P0046
T00262,P0065
T00262,P0064
T00263,P0031
T00264,P0020
T00264,P0046
T00264,P0098
T00264,P0036
T00265,P0079
T00265,P0081
T00265,P0085
T00265,P0033
T00266,P0037
T00266,P0066
T00266,P0062
T00266,P0021
T00266,P0097
T00267,P0009
T00267,P0045
T00268,P0062
T00268,P0066
T00268,P0082
T00268,P0078
T00268,P0038
T00269,P0011
T00269,P0043
T00270,P0070
T00271,P0070
T00272,P0071
T00272,P0033
T00272,P0086
T00272,P0022
T00273,P0079
T00274,P0033
T00274,P0044
T00274,P0099
T00274,P0074
T00275,P0041
T00275,P0004
T00275,P0059
T00275,P0036
T00275,P0038
T00276,P0044
T00276,P0064
T00276,P0082
T00276,P0032
T00277,P0021
T00278,P0018
T00278,P0043
T00278,P0019
T00278,P0030
T00279,P0049
T00280,P0063
T00280,P0054
T00280,P0091
T00280,P0082
T00280,P0032
T00281,P0001
T00281,P0016
T00281,P0069
T00281,P0067
T00282,P0093
T00282,P0082
T00282,P0040
T00282,P0089
T00283,P0050
T00283,P0093
T00284,P0009
T00284,P0073
T00285,P0015
T00286,P0069
T00286,P0016
T00286,P0061
T00287,P0068
T00287,P0099
T00287,P0018
T00287,P0053
T00287,P0008
T00288,P0074
T00289,P0092
T00289,P0060
T00289,P0043
T00289,P0075
T00289,P0074
T00290,P0075
T00290,P0056
T00290,P0026
T00290,P0087
T00291,P0061
T00291,P0097
T00291,P0064
T00291,P0059
T00292,P0074
T00292,P0066
T00292,P0026
T00293,P0092
T00293,P0062
T00293,P0016
T00294,P0046
T00295,P0084
T00295,P0056
T00295,P0015
T00296,P0038
T00296,P0028
T00296,P0096
T00296,P0006
T00297,P0043
T00297,P0017
T00297,P0008
T00297,P0097
T00298,P0032
T00298,P0045
T00298,P0086
T00298,P0080
T00298,P0093
T00299,P0013
T00299,P0007
T00299,P0089
T00299,P0039
T00299,P0097
T00300,P0020
T00300,P0008
T00300,P0051
T00300,P0064
T00301,P0033
T00301,P0078
T00301,P0005
T00302,P0053
T00302,P0060
T00302,P0074
T00302,P0010
T00303,P0008
T00304,P0083
T00305,P0007
T00305,P0090
T00305,P0033
T00305,P0088
T00305,P0080
T00306,P0008
T00306,P0064
T00306,P0056
T00306,P0050
T00306,P0061
T00307,P0072
T00307,P0026
T00307,P0062
T00307,P0037
T00307,P0008
T00308,P0016
T00308,P0066
T00308,P0029
T00309,P0043
T00309,P0100
T00310,P0059
T00311,P0070
T00311,P0039
T00311,P0069
T00311,P0080
T00311,P0019
T00312,P0040
T00312,P0060
T00312,P0011
T00313,P0013
T00313,P0030
T00313,P0090
T00313,P0045
T00314,P0060
T00314,P0084
T00314,P0097
T00314,P0027
T00315,P0085
T00315,P0009
T00315,P0083
T00315,P0077
T00315,P0056
T00316,P0046
T00316,P0065
T00317,P0045
T00317,P0048
T00317,P0043
T00317,P0095
T00317,P0098
T00318,P0088
T00318,P0004
T00318,P0039
T00318,P0059
T00318,P0092
T00319,P0003
T00319,P0023
T00320,P0059
T00321,P0013
T00321,P0092
T00321,P0032
T00321,P0034
T00321,P0052
T00322,P0093
T00323,P0035
T00324,P0020
T00324,P0058
T00325,P0047
T00325,P0004
T00325,P0049
T00326,P0076
T00327,P0027
T00327,P0061
T00327,P0007
T00327,P0079
T00327,P0054
T00328,P0002
T00328,P0016
T00328,P0068
T00328,P0052
T00329,P0018
T00330,P0094
T00330,P0012
T00330,P0078
T00330,P0043
T00330,P0013
T00331,P0033
T00332,P0045
T00332,P0007
T00332,P0049
T00333,P0074
T00333,P0039
T00333,P0076
T00334,P0055
T00334,P0023
T00334,P0066
T00335,P0095
T00335,P0045
T00335,P0015
T00336,P0080
T00336,P0042
T00336,P0092
T00337,P0059
T00337,P0033
T00337,P0081
T00337,P0043
T00337,P0057
T00338,P0053
T00338,P0047
T00339,P0033
T00339,P0100
T00339,P0078
T00340,P0032
T00340,P0027
T00340,P0080
T00341,P0010
T00341,P0080
T00341,P0066
T00341,P0031
T00341,P0019
T00342,P0054
T00342,P0071
T00342,P0036
T00342,P0086
T00343,P0020
T00343,P0068
T00343,P0032
T00343,P0004
T00343,P0051
T00344,P0041
T00344,P0027
T00345,P0091
T00345,P0071
T00345,P0090
T00345,P0035
T00345,P0037
T00346,P0014
T00346,P0063
T00346,P0065
T00347,P0008
T00348,P0089
T00348,P0034
T00349,P0040
T00349,P0063
T00349,P0017
T00350,P0064
T00350,P0082
T00350,P0014
T00351,P0061
T00351,P0068
T00351,P0060
T00351,P0079
T00352,P0076
T00352,P0020
T00352,P0026
T00353,P0059
T00354,P0033
T00354,P0003
T00354,P0046
T00354,P0044
T00355,P0083
T00355,P0098
T00355,P0046
T00356,P0009
T00356,P0065
T00356,P0039
T00356,P0035
T00357,P0036
T00357,P0002
T00357,P0074
T00357,P0068
T00358,P0049
T00358,P0084
T00358,P0002
T00359,P0064
T00359,P0079
T00359,P0062
T00359,P0089
T00360,P0045
T00360,P0076
T00360,P0100
T00361,P0057
T00361,P0004
T00361,P0071
T00362,P0015
T00363,P0032
T00363,P0013
T00363,P0028
T00363,P0031
T00363,P0090
T00364,P0088
T00364,P0051
T00364,P0086
T00364,P0062
T00365,P0016
T00366,P0062
T00366,P0034
T00366,P0084
T00366,P0019
T00367,P0052
T00367,P0094
T00367,P0010
T00368,P0036
T00368,P0007
T00368,P0044
T00368,P0023
T00368,P0041
T00369,P0042
T00370,P0057
T00370,P0095
T00370,P0093
T00370,P0019
T00370,P0055
T00371,P0043
T00371,P0033
T00371,P0073
T00372,P0008
T00372,P0099
T00372,P0054
T00372,P0041
T00372,P0090
T00373,P0024
T00373,P0003
T00373,P0085
T00373,P0010
T00374,P0011
T00374,P0013
T00375,P0037
T00376,P0009
T00376,P0070
T00376,P0015
T00377,P0023
T00377,P0086
T00377,P0056
T00377,P0031
T00378,P0088
T00378,P0052
T00378,P0082
T00378,P0025
T00378,P0050
T00379,P0048
T00379,P0096
T00379,P0076
T00379,P0099
T00380,P0096
T00380,P0003
T00380,P0012
T00380,P0018
T00380,P0072
T00381,P0070
T00381,P0099
T00381,P0100
T00381,P0048
T00382,P0055
T00383,P0052
T00383,P0083
T00383,P0042
T00383,P0041
T00383,P0035
T00384,P0075
T00385,P0095
T00385,P0093
T00385,P0042
T00386,P0100
T00386,P0050
T00386,P0004
T00386,P0056
T00386,P0011
T00387,P0084
T00388,P0097
T00388,P0014
T00389,P0045
T00389,P0071
T00389,P0001
T00390,P0013
T00390,P0020
T00390,P0094
T00390,P0081
T00391,P0037
T00391,P0087
T00391,P0063
T00392,P0041
T00392,P0050
T00392,P0022
T00392,P0074
T00393,P0099
T00393,P0037
T00393,P0016
T00393,P0075
T00393,P0035
T00394,P0022
T00395,P0074
T00396,P0084
T00396,P0038
T00396,P0027
T00396,P0058
T00396,P0044
T00397,P0031
T00397,P0055
T00397,P0019
T00397,P0047
T00398,P0021
T00398,P0064
T00398,P0039
T00398,P0095
T00399,P0077
T00400,P0092
T00400,P0076
T00400,P0004
T00400,P0071
T00401,P0042
T00401,P0040
T00401,P0015
T00401,P0072
T00402,P0022
T00402,P0063
T00402,P0033
T00402,P0019
T00403,P0021
T00403,P0028
T00404,P0053
T00404,P0045
T00404,P0030
T00405,P0033
T00405,P0093
T00405,P0092
T00405,P0096
T00405,P0060
T00406,P0055
T00407,P0012
T00407,P0079
T00407,P0077
T00407,P0037
T00408,P0051
T00409,P0077
T00409,P0079
T00409,P0043
T00410,P0012
T00410,P0068
T00410,P0032
T00411,P0078
T00412,P0033
T00412,P0082
T00412,P0048
T00412,P0079
T00413,P0033
T00413,P0097
T00413,P0067
T00414,P0029
T00414,P0045
T00415,P0089
T00415,P0048
T00416,P0066
T00416,P0012
T00416,P0042
T00417,P0070
T00417,P0028
T00418,P0028
T00418,P0097
T00419,P0048
T00419,P0061
T00419,P0062
T00419,P0003
T00419,P0006
T00420,P0077
T00421,P0014
T00421,P0035
T00421,P0057
T00421,P0073
T00421,P0037
T00422,P0079
T00422,P0043
T00422,P0039
T00423,P0008
T00424,P0100
T00424,P0058
T00424,P0037
T00425,P0094
T00425,P0059
T00425,P0010
T00426,P0019
T00427,P0001
T00427,P0093
T00427,P0003
T00428,P0012
T00428,P0054
T00428,P0082
T00429,P0072
T00429,P0074
T00429,P0063
T00429,P0100
T00430,P0039
T00431,P0002
T00432,P0036
T00432,P0024
T00432,P0031
T00433,P0064
T00434,P0008
T00435,P0017
T00435,P0063
T00436,P0082
T00436,P0005
T00436,P0013
T00436,P0081
T00437,P0007
T00437,P0080
T00437,P0072
T00437,P0073
T00438,P0082
T00439,P0053
T00440,P0089
T00440,P0041
T00440,P0078
T00441,P0016
T00441,P0083
T00441,P0080
T00441,P0090
T00442,P0003
T00442,P0010
T00442,P0078
T00443,P0084
T00444,P0096
T00445,P0021
T00445,P0044
T00446,P0068
T00447,P0059
T00447,P0088
T00447,P0054
T00447,P0010
T00448,P0002
T00448,P0015
T00449,P0070
T00449,P0065
T00450,P0024
T00450,P0030
T00450,P0004
T00450,P0058
T00451,P0003
T00451,P0085
T00451,P0069
T00451,P0072
T00451,P0075
T00452,P0047
T00452,P0058
T00452,P0056
T00452,P0090
T00452,P0096
T00453,P0068
T00453,P0001
T00453,P0078
T00453,P0025
T00453,P0023
T00454,P0098
T00454,P0087
T00454,P0025
T00455,P0014
T00455,P0006
T00456,P0088
T00456,P0035
T00456,P0075
T00456,P0091
T00457,P0030
T00457,P0091
T00457,P0068
T00457,P0005
T00457,P0017
T00458,P0079
T00458,P0074
T00458,P0036
T00458,P0016
T00459,P0047
T00459,P0024
T00459,P0098
T00460,P0097
T00461,P0001
T00461,P0064
T00461,P0100
T00461,P0032
T00461,P0088
T00462,P0007
T00462,P0020
T00463,P0067
T00463,P0085
T00463,P0070
T00463,P0044
T00464,P0091
T00464,P0097
T00464,P0005
T00465,P0098
T00465,P0048
T00466,P0087
T00466,P0084
T00466,P0054
T00467,P0014
T00468,P0052
T00468,P0070
T00468,P0081
T00469,P0086
T00469,P0045
T00469,P0069
T00469,P0016
T00469,P0027
T00470,P0046
T00470,P0018
T00470,P0096
T00470,P0022
T00470,P0059
T00471,P0001
T00471,P0079
T00471,P0019
T00472,P0030
T00472,P0087
T00472,P0012
T00472,P0002
T00472,P0026
T00473,P0026
T00473,P0069
T00473,P0018
T00473,P0072
T00474,P0024
T00474,P0056
T00474,P0072
T00475,P0042
T00475,P0064
T00476,P0078
T00476,P0020
T00476,P0030
T00477,P0076
T00477,P0078
T00477,P0099
T00477,P0077
T00477,P0044
T00478,P0064
T00478,P0098
T00479,P0003
T00480,P0024
T00480,P0093
T00480,P0097
T00480,P0025
T00480,P0075
T00481,P0068
T00481,P0017
T00482,P0100
T00482,P0082
T00482,P0073
T00482,P0009
T00482,P0060
T00483,P0081
T00483,P0062
T00483,P0093
T00483,P0014
T00483,P0096
T00484,P0043
T00484,P0065
T00484,P0002
T00484,P0021
T00485,P0028
T00485,P0075
T00485,P0043
T00485,P0097
T00486,P0074
T00486,P0061
T00486,P0043
T00487,P0041
T00487,P0029
T00488,P0012
T00488,P0069
T00488,P0098
T00488,P0020
T00488,P0045
T00489,P0013
T00489,P0016
T00490,P0025
T00491,P0003
T00491,P0076
T00491,P0018
T00492,P0087
T00493,P0069
T00494,P0090
T00494,P0014
T00494,P0061
T00494,P0044
T00494,P0059
T00495,P0019
T00496,P0056
T00496,P0045
T00497,P0012
T00497,P0027
T00498,P0044
T00498,P0020
T00498,P0099
T00499,P0028
T00499,P0020
T00499,P0094
T00499,P0076
T00500,P0073
T00501,P0074
T00501,P0017
T00502,P0048
T00502,P0030
T00502,P0009
T00502,P0095
T00502,P0010
T00503,P0089
T00503,P0014
T00503,P0048
T00504,P0007
T00504,P0012
T00504,P0086
T00504,P0040
T00504,P0041
T00505,P0042
T00505,P0072
T00505,P0055
T00506,P0091
T00506,P0040
T00506,P0078
T00506,P0046
T00507,P0009
T00507,P0019
T00507,P0077
T00507,P0093
T00507,P0072
T00508,P0084
T00509,P0070
T00509,P0032
T00509,P0049
T00509,P0039
T00509,P0095
T00510,P0034
T00511,P0028
T00511,P0073
T00511,P0007
T00511,P0025
T00512,P0016
T00513,P0074
T00513,P0052
T00513,P0029
T00513,P0012
T00513,P0047
T00514,P0085
T00514,P0044
T00515,P0022
T00515,P0023
T00516,P0058
T00516,P0054
T00516,P0001
T00516,P0075
T00517,P0072
T00518,P0016
T00518,P0075
T00518,P0019
T00518,P0085
T00518,P0072
T00519,P0004
T00519,P0015
T00519,P0041
T00520,P0036
T00520,P0093
T00521,P0038
T00521,P0061
T00522,P0099
T00523,P0062
T00524,P0078
T00524,P0073
T00524,P0040
T00525,P0097
T00525,P0031
T00525,P0060
T00525,P0099
T00525,P0006
T00526,P0035
T00526,P0038
T00527,P0078
T00527,P0092
T00527,P0054
T00528,P0074
T00528,P0095
T00529,P0087
T00529,P0061
T00529,P0036
T00529,P0095
T00529,P0060
T00530,P0028
T00530,P0092
T00530,P0045
T00530,P0014
T00530,P0060
T00531,P0028
T00531,P0076
T00531,P0070
T00531,P0032
T00531,P0053
T00532,P0092
T00532,P0083
T00532,P0016
T00532,P0059
T00532,P0051
T00533,P0091
T00533,P0069
T00533,P0097
T00533,P0027
T00534,P0036
T00534,P0078
T00534,P0045
T00535,P0083
T00536,P0026
T00536,P0061
T00536,P0035
T00536,P0069
T00537,P0046
T00537,P0018
T00537,P0006
T00538,P0050
T00538,P0046
T00539,P0083
T00539,P0057
T00539,P0010
T00539,P0080
T00540,P0022
T00540,P0069
T00540,P0049
T00540,P0084
T00540,P0097
T00541,P0045
T00541,P0071
T00541,P0084
T00541,P0096
T00542,P0020
T00542,P0039
T00542,P0094
T00542,P0047
T00543,P0092
T00543,P0076
T00543,P0042
T00543,P0031
T00543,P0017
T00544,P0065
T00544,P0097
T00544,P0085
T00544,P0013
T00544,P0044
T00545,P0077
T00545,P0018
T00545,P0064
T00546,P0050
T00547,P0017
T00547,P0048
T00547,P0035
T00547,P0057
T00547,P0026
T00548,P0068
T00548,P0024
T00549,P0047
T00549,P0026
T00550,P0060
T00550,P0014
T00551,P0026
T00552,P0092
T00552,P0049
T00553,P0083
T00554,P0085
T00554,P0095
T00554,P0006
T00555,P0041
T00555,P0053
T00555,P0017
T00555,P0016
T00555,P0081
T00556,P0088
T00556,P0015
T00557,P0035
T00558,P0077
T00558,P0032
T00559,P0055
T00559,P0038
T00559,P0039
T00560,P0066
T00561,P0002
T00561,P0013
T00561,P0064
T00561,P0014
T00561,P0053
T00562,P0069
T00563,P0035
T00563,P0053
T00563,P0007
T00564,P0010
T00564,P0029
T00564,P0023
T00564,P0091
T00564,P0042
T00565,P0064
T00565,P0014
T00566,P0028
T00566,P0092
T00567,P0047
T00567,P0069
T00567,P0086
T00567,P0046
T00567,P0054
T00568,P0080
T00568,P0092
T00569,P0028
T00569,P0005
T00569,P0094
T00569,P0002
T00570,P0086
T00571,P0054
T00572,P0042
T00572,P0092
T00572,P0044
T00573,P0010
T00573,P0011
T00573,P0049
T00573,P0091
T00574,P0080
T00574,P0008
T00574,P0027
T00574,P0093
T00574,P0040
T00575,P0022
T00575,P0065
T00576,P0019
T00576,P0003
T00577,P0019
T00578,P0035
T00578,P0051
T00579,P0050
T00579,P0055
T00579,P0068
T00579,P0003
T00580,P0004
T00580,P0003
T00580,P0025
T00581,P0032
T00581,P0070
T00581,P0066
T00581,P0077
T00582,P0098
